ticket,signal,is_long,profit,bars,close_time,reason,run
73,EMA_CROSS_BULL,True,102.196818851643,6,2023-06-09 16:00:00,TP1,A_nofilter
73,EMA_CROSS_BULL,True,0.4499999999995907,7,2023-06-09 17:00:00,SL,A_nofilter
74,EMA_CROSS_BULL,True,101.92074544533843,10,2023-06-12 20:00:00,TP1,A_nofilter
74,EMA_CROSS_BULL,True,215.83216682542047,32,2023-06-13 18:00:00,TP2,A_nofilter
75,EMA_CROSS_BULL,True,102.51340189763471,13,2023-06-15 10:00:00,TP1,A_nofilter
75,EMA_CROSS_BULL,True,0.24999999999977263,17,2023-06-15 14:00:00,SL,A_nofilter
76,EMA_CROSS_BULL,True,-130.4914503924124,20,2023-06-21 08:00:00,SL,A_nofilter
77,EMA_CROSS_BEAR,False,-125.07347722277926,5,2023-06-21 13:00:00,SL,A_nofilter
78,EMA_CROSS_BULL,True,104.34440181484672,3,2023-06-21 20:00:00,TP1,A_nofilter
78,EMA_CROSS_BULL,True,0.5499999999994998,9,2023-06-22 02:00:00,SL,A_nofilter
79,EMA_CROSS_BEAR,False,-122.07322019287541,3,2023-06-22 07:00:00,SL,A_nofilter
80,EMA_CROSS_BULL,True,102.23958682149761,16,2023-06-23 11:00:00,TP1,A_nofilter
80,EMA_CROSS_BULL,True,195.58877478895192,16,2023-06-23 11:00:00,TP2,A_nofilter
81,EMA_CROSS_BEAR,False,-126.63420611984726,2,2023-06-27 08:00:00,SL,A_nofilter
82,EMA_CROSS_BULL,True,-124.13273122729129,7,2023-06-27 19:00:00,SL,A_nofilter
83,EMA_CROSS_BEAR,False,-121.27852243534107,4,2023-06-28 01:00:00,SL,A_nofilter
84,EMA_CROSS_BULL,True,102.80966954442043,2,2023-06-28 01:00:00,TP1,A_nofilter
84,EMA_CROSS_BULL,True,0.4499999999995907,8,2023-06-28 07:00:00,SL,A_nofilter
85,EMA_CROSS_BULL,True,104.25469919306487,4,2023-06-28 19:00:00,TP1,A_nofilter
85,EMA_CROSS_BULL,True,218.43841735689784,14,2023-06-29 05:00:00,TP2,A_nofilter
86,EMA_CROSS_BEAR,False,-124.95964615173169,6,2023-06-29 17:00:00,SL,A_nofilter
87,EMA_CROSS_BULL,True,106.29094762986801,10,2023-06-30 10:00:00,TP1,A_nofilter
87,EMA_CROSS_BULL,True,0.4499999999995907,12,2023-06-30 12:00:00,SL,A_nofilter
88,EMA_CROSS_BEAR,False,106.23404443743858,4,2023-07-05 19:00:00,TP1,A_nofilter
88,EMA_CROSS_BEAR,False,212.46808887487717,7,2023-07-05 22:00:00,TP2,A_nofilter
89,EMA_CROSS_BULL,True,-132.30030129090028,5,2023-07-07 00:00:00,SL,A_nofilter
90,EMA_CROSS_BEAR,False,-130.70673800561053,5,2023-07-07 20:00:00,SL,A_nofilter
91,EMA_CROSS_BULL,True,104.01546349543037,4,2023-07-10 00:00:00,TP1,A_nofilter
91,EMA_CROSS_BULL,True,0.5499999999994998,11,2023-07-10 07:00:00,SL,A_nofilter
92,EMA_CROSS_BEAR,False,107.18179981980573,6,2023-07-11 10:00:00,TP1,A_nofilter
92,EMA_CROSS_BEAR,False,214.36359963961146,10,2023-07-11 14:00:00,TP2,A_nofilter
93,EMA_CROSS_BEAR,False,-134.0902307782153,4,2023-07-26 04:00:00,SL,A_nofilter
94,EMA_CROSS_BULL,True,-133.0160931112971,12,2023-07-26 18:00:00,SL,A_nofilter
95,EMA_CROSS_BEAR,False,-131.84298858923466,3,2023-08-02 02:00:00,SL,A_nofilter
96,EMA_CROSS_BULL,True,105.94094151972217,4,2023-08-02 04:00:00,TP1,A_nofilter
96,EMA_CROSS_BULL,True,211.88188303944685,9,2023-08-02 09:00:00,TP2,A_nofilter
97,EMA_CROSS_BEAR,False,107.8807957472193,3,2023-08-04 03:00:00,TP1,A_nofilter
97,EMA_CROSS_BEAR,False,0.4499999999995907,18,2023-08-04 18:00:00,SL,A_nofilter
98,EMA_CROSS_BEAR,False,110.5627077935684,3,2023-08-08 16:00:00,TP1,A_nofilter
98,EMA_CROSS_BEAR,False,0.5499999999994998,8,2023-08-08 21:00:00,SL,A_nofilter
99,EMA_CROSS_BULL,True,-135.7741488015472,5,2023-08-10 04:00:00,SL,A_nofilter
100,EMA_CROSS_BEAR,False,112.7697462615895,28,2023-08-22 11:00:00,TP1,A_nofilter
100,EMA_CROSS_BEAR,False,0.34999999999968173,32,2023-08-22 15:00:00,SL,A_nofilter
101,EMA_CROSS_BULL,True,-130.92399497042675,1,2023-08-24 07:00:00,SL,A_nofilter
102,EMA_CROSS_BEAR,False,109.56144346543135,3,2023-08-24 14:00:00,TP1,A_nofilter
102,EMA_CROSS_BEAR,False,0.849999999999227,13,2023-08-25 00:00:00,SL,A_nofilter
103,EMA_CROSS_BULL,True,-135.75982202567548,2,2023-08-29 02:00:00,SL,A_nofilter
104,EMA_CROSS_BEAR,False,-129.0151976987513,1,2023-08-30 13:00:00,SL,A_nofilter
105,EMA_CROSS_BEAR,False,110.05396098851882,8,2023-08-31 22:00:00,TP1,A_nofilter
105,EMA_CROSS_BEAR,False,0.5499999999994998,22,2023-09-01 12:00:00,SL,A_nofilter
106,EMA_CROSS_BULL,True,106.38272809331058,9,2023-09-04 16:00:00,TP1,A_nofilter
106,EMA_CROSS_BULL,True,225.28107125642234,11,2023-09-04 18:00:00,TP2,A_nofilter
107,EMA_CROSS_BEAR,False,-132.73424901512044,7,2023-09-07 19:00:00,SL,A_nofilter
108,EMA_CROSS_BEAR,False,111.03869782568108,3,2023-09-12 03:00:00,TP1,A_nofilter
108,EMA_CROSS_BEAR,False,222.07739565135944,10,2023-09-12 10:00:00,TP2,A_nofilter
109,EMA_CROSS_BEAR,False,113.37159157275165,23,2023-09-18 12:00:00,TP1,A_nofilter
109,EMA_CROSS_BEAR,False,0.39999999999963626,26,2023-09-18 15:00:00,SL,A_nofilter
110,EMA_CROSS_BULL,True,-138.8631573448729,6,2023-09-19 04:00:00,SL,A_nofilter
111,EMA_CROSS_BULL,True,-134.7496274414989,1,2023-09-21 07:00:00,SL,A_nofilter
112,EMA_CROSS_BEAR,False,115.8712211869489,6,2023-09-21 13:00:00,TP1,A_nofilter
112,EMA_CROSS_BEAR,False,0.4499999999995907,10,2023-09-21 17:00:00,SL,A_nofilter
113,EMA_CROSS_BEAR,False,-135.56259305129288,10,2023-09-22 19:00:00,SL,A_nofilter
114,EMA_CROSS_BULL,True,-132.242358707769,3,2023-10-03 00:00:00,SL,A_nofilter
115,EMA_CROSS_BEAR,False,-134.9012442134026,10,2023-10-03 08:00:00,SL,A_nofilter
116,EMA_CROSS_BULL,True,111.47754060619945,11,2023-10-03 12:00:00,TP1,A_nofilter
116,EMA_CROSS_BULL,True,0.49999999999954525,15,2023-10-03 16:00:00,SL,A_nofilter
117,EMA_CROSS_BEAR,False,111.03020422763575,9,2023-10-04 04:00:00,TP1,A_nofilter
117,EMA_CROSS_BEAR,False,0.4499999999995907,10,2023-10-04 05:00:00,SL,A_nofilter
118,EMA_CROSS_BEAR,False,-135.7248036446715,5,2023-10-06 09:00:00,SL,A_nofilter
